Entity,Code,Year,Afforestation
Israel,ISR,2010,830
Israel,ISR,2015,350
Italy,ITA,1990,14880
Italy,ITA,2000,8150
Italy,ITA,2010,6840
Jamaica,JAM,1990,0
Jamaica,JAM,2000,10
Jamaica,JAM,2010,10
Jamaica,JAM,2015,10
Kuwait,KWT,1990,140
Kuwait,KWT,2000,140
Kuwait,KWT,2010,0
Kuwait,KWT,2015,0
Kyrgyzstan,KGZ,2000,2880
Kyrgyzstan,KGZ,2010,2430
Kyrgyzstan,KGZ,2015,3800
Latvia,LVA,2000,1440
Latvia,LVA,2010,2130
Latvia,LVA,2015,1950
Liechtenstein,LIE,1990,30
Liechtenstein,LIE,2000,30
Liechtenstein,LIE,2010,30
Liechtenstein,LIE,2015,30
Lithuania,LTU,2000,2000
Lithuania,LTU,2010,3160
Lithuania,LTU,2015,2070
Madagascar,MDG,1990,3600
Maldives,MDV,1990,0
Maldives,MDV,2000,0
Maldives,MDV,2010,0
Maldives,MDV,2015,0
Mali,MLI,1990,5000
Mali,MLI,2000,30000
Mali,MLI,2010,0
Mali,MLI,2015,0
Martinique,MTQ,1990,150
Martinique,MTQ,2000,90
Martinique,MTQ,2010,10
Martinique,MTQ,2015,0
Mauritania,MRT,1990,32280
Mauritania,MRT,2000,2080
Mauritania,MRT,2010,2350
Mauritania,MRT,2015,2500
Mayotte,MYT,1990,30
Mayotte,MYT,2000,80
Mayotte,MYT,2010,10
Mayotte,MYT,2015,10
Mexico,MEX,1990,780
Mexico,MEX,2000,2710
Mexico,MEX,2010,3510
Mexico,MEX,2015,3300
Moldova,MDA,2000,4810
Moldova,MDA,2010,270
Moldova,MDA,2015,360
Monaco,MCO,1990,0
Monaco,MCO,2000,0
Monaco,MCO,2010,0
Monaco,MCO,2015,0
Mongolia,MNG,1990,110
Mongolia,MNG,2000,150
Mongolia,MNG,2010,300
Mongolia,MNG,2015,300
Montenegro,MNE,2010,500
Montenegro,MNE,2015,300
Morocco,MAR,1990,2900
Morocco,MAR,2000,17880
Morocco,MAR,2010,10880
Morocco,MAR,2015,11560
Mozambique,MOZ,1990,0
Myanmar,MMR,1990,0
Myanmar,MMR,2000,27450
Myanmar,MMR,2010,20160
Myanmar,MMR,2015,4210
Nauru,NRU,1990,0
Nauru,NRU,2000,0
Nauru,NRU,2010,0
Nauru,NRU,2015,0
Nepal,NPL,1990,4000
Nepal,NPL,2000,8000
Nepal,NPL,2010,0
Nepal,NPL,2015,0
Netherlands,NLD,1990,2560
Netherlands,NLD,2000,4000
Netherlands,NLD,2010,2790
Netherlands,NLD,2015,3120
New Caledonia,NCL,1990,80
New Caledonia,NCL,2000,60
New Zealand,NZL,1990,62000
New Zealand,NZL,2000,15000
New Zealand,NZL,2010,8000
New Zealand,NZL,2015,12000
Nicaragua,NIC,1990,200
Nicaragua,NIC,2000,1370
Nicaragua,NIC,2010,5030
Nicaragua,NIC,2015,5030
Niger,NER,1990,2500
Niger,NER,2000,2500
Niger,NER,2010,2500
Niger,NER,2015,2500
North Macedonia,MKD,2000,710
North Macedonia,MKD,2010,760
North Macedonia,MKD,2015,400
Norway,NOR,1990,960
Norway,NOR,2000,320
Norway,NOR,2010,180
Norway,NOR,2015,150
Panama,PAN,1990,2420
Panama,PAN,2000,2310
Panama,PAN,2010,1100
Panama,PAN,2015,1080
Papua New Guinea,PNG,1990,0
Papua New Guinea,PNG,2000,0
Papua New Guinea,PNG,2010,0
Papua New Guinea,PNG,2015,0
Peru,PER,1990,45210
Peru,PER,2000,25480
Peru,PER,2010,17450
Peru,PER,2015,6260
Portugal,PRT,2010,26500
Qatar,QAT,1990,0
Qatar,QAT,2000,0
Qatar,QAT,2010,0
Qatar,QAT,2015,0
Romania,ROU,1990,1130
Romania,ROU,2000,2760
Romania,ROU,2010,1100
Romania,ROU,2015,480
Russia,RUS,2000,0
Russia,RUS,2010,0
Russia,RUS,2015,0
Saint Helena,SHN,1990,0
Saint Helena,SHN,2000,0
Saint Helena,SHN,2010,0
Saint Helena,SHN,2015,0
Saint Pierre and Miquelon,SPM,1990,0
Saint Pierre and Miquelon,SPM,2000,0
Saint Pierre and Miquelon,SPM,2010,0
Saint Pierre and Miquelon,SPM,2015,0
San Marino,SMR,1990,0
San Marino,SMR,2000,0
San Marino,SMR,2010,0
San Marino,SMR,2015,0
Serbia,SRB,2010,400
Serbia,SRB,2015,370
Singapore,SGP,1990,0
Singapore,SGP,2000,0
Singapore,SGP,2010,0
Singapore,SGP,2015,0
Slovakia,SVK,2000,200
Slovakia,SVK,2010,60
Slovakia,SVK,2015,120
Slovenia,SVN,2000,0
Slovenia,SVN,2010,0
Slovenia,SVN,2015,0
South Africa,ZAF,1990,218000
South Africa,ZAF,2000,37000
South Africa,ZAF,2010,6000
South Africa,ZAF,2015,3000
Spain,ESP,1990,133780
Spain,ESP,2000,40770
Spain,ESP,2010,10720
Spain,ESP,2015,4660
Sweden,SWE,1990,8870
Sweden,SWE,2000,11820
Sweden,SWE,2010,19550
Sweden,SWE,2015,13050
Switzerland,CHE,1990,80
Switzerland,CHE,2000,70
Switzerland,CHE,2010,0
Switzerland,CHE,2015,0
Thailand,THA,1990,26700
Thailand,THA,2000,125500
Thailand,THA,2010,92000
Thailand,THA,2015,0
Togo,TGO,1990,1000
Togo,TGO,2000,1500
Togo,TGO,2010,2000
Togo,TGO,2015,2000
Tokelau,TKL,1990,0
Tokelau,TKL,2000,0
Tokelau,TKL,2010,0
Tokelau,TKL,2015,0
Tunisia,TUN,1990,6710
Tunisia,TUN,2000,6300
Tunisia,TUN,2010,2950
Tunisia,TUN,2015,2100
Turkey,TUR,1990,22650
Turkey,TUR,2000,62910
Turkey,TUR,2010,75360
Turkey,TUR,2015,80200
Uganda,UGA,1990,9840
Uganda,UGA,2000,9840
Uganda,UGA,2010,9840
Uganda,UGA,2015,9840
Ukraine,UKR,2000,4000
Ukraine,UKR,2010,14500
Ukraine,UKR,2015,6000
United States,USA,1990,59730
United States,USA,2000,259000
United States,USA,2010,247000
Uruguay,URY,2000,35000
Uruguay,URY,2010,18400
Uzbekistan,UZB,2000,38000
Uzbekistan,UZB,2010,23100
Uzbekistan,UZB,2015,26900
Vatican,VAT,1990,0
Vatican,VAT,2000,0
Vatican,VAT,2010,0
Vatican,VAT,2015,0
Venezuela,VEN,1990,16350
Venezuela,VEN,2000,19390
Venezuela,VEN,2010,17870
Venezuela,VEN,2015,17870
Vietnam,VNM,1990,117460
Vietnam,VNM,2000,116370
Vietnam,VNM,2010,160620
Vietnam,VNM,2015,97540
